"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",-0.0976836204380749,-0.0976836204380749,-0.0976836204380749,0.03599389253793,0.0529711949428171,0.074602948329406,0.108738778547223,0.160711547440284,0.259425421013976,0.540456382831199
"A2",-0.0820043589351505,-0.0820043589351505,-0.0820043589351505,0.0516731540408543,0.0686504564457415,0.0902822098323303,0.124418040050147,0.176390808943208,0.2751046825169,NA
"A3",-0.0699920759520603,-0.0699920759520603,-0.0699920759520603,0.0636854370239446,0.0806627394288317,0.102294492815421,0.136430323033237,0.188403091926299,NA,NA
"A4",-0.0591623833908158,-0.0591623833908158,-0.0591623833908158,0.0745151295851891,0.0914924319900762,0.113124185376665,0.147260015594482,NA,NA,NA
"A5",-0.0486807084919102,-0.0486807084919102,-0.0486807084919102,0.0849968044840946,0.101974106888982,0.123605860275571,NA,NA,NA,NA
"A6",-0.0369758018218663,-0.0369758018218663,-0.0369758018218663,0.0967017111541385,0.113679013559026,NA,NA,NA,NA,NA
"A7",-0.0218404700995872,-0.0218404700995872,-0.0218404700995872,0.111837042876418,NA,NA,NA,NA,NA,NA
"A8",0,0,0,NA,NA,NA,NA,NA,NA,NA
"A9",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"A10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
