"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",-187779639.592239,-85062578.1611854,-42178251.050354,-17484347.9633264,470191.102045808,14982118.5644276,32712484.7787637,51273710.080819,71978376.6900895,136737399.72145
"A2",-136307865.939534,-57170978.6345938,-22290128.6685969,-864425.60995124,14309718.5762741,29844916.033723,47199606.8133557,62754794.7615603,104447917.648101,NA
"A3",-116891352.442404,-37470779.7497036,-6748460.7192215,13352087.7610734,26424750.5378949,34817124.321867,48377673.64373,77464478.3466403,NA,NA
"A4",-88335553.0895815,-20954341.6103135,9415571.54449091,26010344.5786833,36272247.5716526,45435918.166659,57904326.0701835,NA,NA,NA
"A5",-65043789.2019764,-261979.449801174,25317591.3828649,40716990.4808407,48375944.312288,60253740.7202267,NA,NA,NA,NA
"A6",-30376573.7397427,19619423.3361912,37632715.4011783,48190735.565118,56997763.7447101,NA,NA,NA,NA,NA
"A7",7463513.45047004,47360964.4598325,51059771.7921867,56980143.9222736,NA,NA,NA,NA,NA,NA
"A8",57321520.5643139,82831654.9439409,89342065.6652988,NA,NA,NA,NA,NA,NA,NA
"A9",159800254.556883,142889977.780203,NA,NA,NA,NA,NA,NA,NA,NA
"A10",404269457.859045,NA,NA,NA,NA,NA,NA,NA,NA,NA
