"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",-0.900339622839731,-0.659748420949985,-0.462175075729123,-0.264667028362063,-0.0499145647895521,0.218003586814154,0.631026930642265,1.27406970566284,2.50601523227706,6.12900070020153
"A2",-0.600869871810512,-0.395225495225065,-0.209783577406776,-0.0186279990736872,0.192154456345823,0.457645679804341,0.868880074372032,1.510630064942,2.74170703659311,NA
"A3",-0.423547670616846,-0.2179032940314,-0.0324613762131101,0.158694202119979,0.369476657539489,0.634967880998007,1.0462022755657,1.68795226613566,NA,NA
"A4",-0.267669601769267,-0.0620252251838208,0.123416692634469,0.314572270967557,0.525354726387067,0.790845949845586,1.20208034441328,NA,NA,NA
"A5",-0.108835994356268,0.0968083822291784,0.282250300047468,0.473405878380557,0.684188333800067,0.949679557258584,NA,NA,NA,NA
"A6",0.0785557480850166,0.284200124670463,0.469642042488753,0.660797620821841,0.871580076241351,NA,NA,NA,NA,NA
"A7",0.32739929776606,0.533043674351507,0.718485592169796,0.909641170502885,NA,NA,NA,NA,NA,NA
"A8",0.702020968940982,0.907665345526428,1.09310726334472,NA,NA,NA,NA,NA,NA,NA
"A9",1.38416291983673,1.58980729642217,NA,NA,NA,NA,NA,NA,NA,NA
"A10",3.28030778029653,NA,NA,NA,NA,NA,NA,NA,NA,NA
